date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:37	2189/2189	---M--	200	added ('OK')	text/plain	etag:%2288d-56aadfa6eb8c0%22	http://rominatumini.com/robots.txt		(from )
23:04:37	28312/28312	---M-Z	200	added ('OK')	text/html	etag:%221556060579-1%22	http://rominatumini.com/	C:/Users/polcom/Desktop/demogit/rominatumini.com/index-2.html	(from )
23:04:37	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-4ebcdb0a0e4c0%22	http://rominatumini.com/sites/default/files/favicon.ico	C:/Users/polcom/Desktop/demogit/rominatumini.com/sites/default/files/favicon.ico	(from http://rominatumini.com/)
23:04:38	112644/112644	---M--	200	added ('OK')	text/css	etag:%221b804-4ebcdb0a0e4c0%22	http://rominatumini.com/sites/all/themes/Porto/css/bootstrap.css	C:/Users/polcom/Desktop/demogit/rominatumini.com/sites/all/themes/Porto/css/bootstrap.css	(from http://rominatumini.com/)
23:04:40	3919/3919	---M--	200	added ('OK')	text/css	etag:%22f4f-4ebcdb0a0e4c0%22	http://rominatumini.com/sites/all/themes/Porto/vendor/flexslider/flexslider.css	C:/Users/polcom/Desktop/demogit/rominatumini.com/sites/all/themes/Porto/vendor/flexslider/flexslider.css	(from http://rominatumini.com/)
23:04:40	27232/27232	---M--	200	added ('OK')	text/css	etag:%226a60-4ebcdb0a0e4c0%22	http://rominatumini.com/sites/all/themes/Porto/css/fonts/font-awesome/css/font-awesome.css	C:/Users/polcom/Desktop/demogit/rominatumini.com/sites/all/themes/Porto/css/fonts/font-awesome/css/font-awesome.css	(from http://rominatumini.com/)
23:04:41	19888/19888	---M--	200	added ('OK')	text/css	etag:%224db0-4ebcdb0a0e4c0%22	http://rominatumini.com/sites/all/themes/Porto/vendor/prettyPhoto/css/prettyPhoto.css	C:/Users/polcom/Desktop/demogit/rominatumini.com/sites/all/themes/Porto/vendor/prettyPhoto/css/prettyPhoto.css	(from http://rominatumini.com/)
23:04:42	4354/4354	---M--	200	added ('OK')	text/css	etag:%221102-4ebcdb0a0e4c0%22	http://rominatumini.com/sites/all/themes/Porto/vendor/circle-flip-slideshow/css/component.css	C:/Users/polcom/Desktop/demogit/rominatumini.com/sites/all/themes/Porto/vendor/circle-flip-slideshow/css/component.css	(from http://rominatumini.com/)
23:04:42	1339/1339	---M--	200	added ('OK')	text/css	etag:%2253b-4ebcdb0a0e4c0%22	http://rominatumini.com/sites/all/themes/Porto/vendor/isotope/jquery.isotope.css	C:/Users/polcom/Desktop/demogit/rominatumini.com/sites/all/themes/Porto/vendor/isotope/jquery.isotope.css	(from http://rominatumini.com/)
23:04:42	16686/16686	---M--	200	added ('OK')	text/css	etag:%22412e-4ebcdb0a0e4c0%22	http://rominatumini.com/sites/all/themes/Porto/css/theme.css	C:/Users/polcom/Desktop/demogit/rominatumini.com/sites/all/themes/Porto/css/theme.css	(from http://rominatumini.com/)
